isbn;title_ol;title_az;reading_age;grade;cover_url
1770493131;Little Red Lies;Julie Johnston;12 - 17 years;7 - 6;https://m.media-amazon.com/images/I/91oPI375zVL.jpg
0062294482;Deception;C. J. Redwine;13 years and up;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/5172UmMeIDL.jpg
0990662616;The Body Electric: Special Edition;Beth Revis;14 - 17 years;8 - 12;https://m.media-amazon.com/images/I/71FvbJ50oVL.jpg
0062373374;Like Water;Rebecca Podos;14 - 17 years;9 and up;https://m.media-amazon.com/images/I/41Js6fyC+QL.jpg
0439681952;The Pity Party: 8th Grade in the Life of Me, Cass;Alison Pollet;8 - 12 years;3 - 7;https://m.media-amazon.com/images/I/41eYtXPB+AL.jpg
0810984288;The Phantom Limb;William Sleator;13 years and up;8 and up;https://m.media-amazon.com/images/I/71O+60Sss6L.jpg
1419700472;The Storyteller;Antonia Michaelis;13 years and up;8 and up;https://m.media-amazon.com/images/I/81437NJ3OtL.jpg
0761462651;The Forgetting Curve;Angie Smibert;12 - 18 years;7 - 12;https://m.media-amazon.com/images/I/81nycUl7i+L.jpg
0761462627;The Call of Eirian;C. Aubrey Hall;10 - 15 years;5 - 10;https://m.media-amazon.com/images/I/51tExFm3rhL.jpg
0374302332;Funny How Things Change;Melissa Wyatt;14 years and up;9 and up;https://m.media-amazon.com/images/I/81flGqgZ04L.jpg
1470158507;Phantom Lives - Power;Elizabeth Loraine;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/51vKfTBfOvL.jpg
0553485911;Crushing on You;Wendy Loggia;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/519JRZV3XNL.jpg
1427211248;Invincible: The Chronicles of Nick;Sherrilyn Kenyon;12 - 18 years;7 - 9;https://m.media-amazon.com/images/I/61uZZ3BG1HL.jpg
0062424475;Three Sides of a Heart: Stories About Love Triangles;Natalie C. Parker;14 years and up;9 and up;https://m.media-amazon.com/images/I/81OmjuLg-gL.jpg
1441888365;Dead Beautiful;Yvonne Woon;READINGAGE_MISSING_AZ;10 - 12;https://m.media-amazon.com/images/I/71A-N2xKgLL.jpg
0552551945;Checkmate: Book 3;Malorie Blackman;9 - 12 years;4 - 7;https://m.media-amazon.com/images/I/61QyE5ZoxkL.jpg
1552778657;Girl Fight;Faye Harnest;13 years and up;9 - 12;https://m.media-amazon.com/images/I/81kzVWA81VL.jpg
0141321741;Kevin And Sadie The Story Continues;Joan Lingard;12 - 14 years;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/612HSaYZ5CL.jpg
0552548928;Knife Edge: Book 2;Malorie Blackman;12 - 14 years;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/71vOvtg0HCL.jpg
1416933476;Maggie Bean Stays Afloat;Tricia Rayburn;9 - 13 years;4 - 8;https://m.media-amazon.com/images/I/7132DTecpvL.jpg
038574658X;Bonechiller;Graham McNamee;12 - 15 years;7 - 9;https://m.media-amazon.com/images/I/41fFS4e7MPL.jpg
1419701657;Dying to Know You;Aidan Chambers;14 years and up;9 and up;https://m.media-amazon.com/images/I/51caOWmaTsL.jpg
1101915420;Saint Anything;Sarah Dessen;12 - 15 years;7 - 9;https://m.media-amazon.com/images/I/71tq8FoIjHL.jpg
0553570633;Cover Girls;Francine Pascal;12 - 15 years;7 - 9;https://m.media-amazon.com/images/I/51GZ65VN32L.jpg
0553566342;Nightmare in Death Valley;Francine Pascal;12 - 15 years;7 - 9;https://m.media-amazon.com/images/I/518BH7D11SL.jpg
0762457996;One of Us;Jeannie Waudby;12 years and up;7 and up;https://m.media-amazon.com/images/I/61H9DJQ55XL.jpg
0553291459;Cheating to Win;Francine Pascal;12 years and up;7 - 9;https://m.media-amazon.com/images/I/41NFN6MVN5L.jpg
1484781333;Time and Time Again;Tamara Ireland Stone;12 - 18 years;7 - 12;https://m.media-amazon.com/images/I/51GyH0EJTpL.jpg
0984462740;Max and Menna;Shauna Kelley;13 - 17 years;8 - 12;https://m.media-amazon.com/images/I/51gR2RHeTyL.jpg
1250054419;The Tragic Age: A Novel;Stephen Metcalfe;14 - 18 years;10 - 12;https://m.media-amazon.com/images/I/71A5vlf5BFL.jpg
1444014781;A Very Good Chance;Sarah Moore Fitzgerald;12 - 17 years;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/71qd-JeBN1L.jpg
1442409231;Trauma Queen;Barbara Dee;9 - 13 years;4 - 8;https://m.media-amazon.com/images/I/51sCmTT-jML.jpg
1908195908;Primperfect;Deirdre Sullivan;12 - 15 years;8 - 9;https://m.media-amazon.com/images/I/71T78YhJ8UL.jpg
1616951419;What We Saw at Night;Jacquelyn Mitchard;14 years and up;9 and up;https://m.media-amazon.com/images/I/41o9n-bFETL.jpg
0374387060;You Don't Know Me;David Klass;14 years and up;9 and up;https://m.media-amazon.com/images/I/51VKGVKtWNL.jpg
0545139058;Wish;Alexandra Bullen;14 years and up;9 - 12;https://m.media-amazon.com/images/I/710CaiIuERL.jpg
0547855400;Wisdom's Kiss;Catherine Gilbert Murdock;12 years and up;7 - 9;https://m.media-amazon.com/images/I/81mSrUuO1zL.jpg
0316068241;How to Rock Braces and Glasses;Meg Haston;10+ years;3 - 7;https://m.media-amazon.com/images/I/710oNEeKV+L.jpg
1432707191;The Quest of Dai: The Eroe;Vivian Marie Aubin du Paris;READINGAGE_MISSING_AZ;4 - 6;https://m.media-amazon.com/images/I/514yltglVZL.jpg
1467664952;Four: The Son: Library Edition;Veronica Roth;READINGAGE_MISSING_AZ;10 - 12;https://m.media-amazon.com/images/I/51mCdsC8apL.jpg
0689866690;Spin Control;Niki Burnham;14 years and up;10 - 12;https://m.media-amazon.com/images/I/61VZ6x-MTPL.jpg
